Θユら戳,ユ澄る,Θユ丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
20200211,202002     ,114400,11671.0,11673.0,11671.0,11672.0,114
20200211,202002     ,114500,11672.0,11674.0,11672.0,11674.0,122
20200211,202002     ,114604,11673.0,11674.0,11672.0,11673.0,214
20200211,202002     ,114700,11673.0,11673.0,11671.0,11671.0,154
20200211,202002     ,114800,11670.0,11675.0,11670.0,11674.0,210
20200211,202002     ,114903,11673.0,11674.0,11672.0,11672.0,74
20200211,202002     ,115008,11672.0,11672.0,11671.0,11671.0,114
20200211,202002     ,115104,11671.0,11673.0,11671.0,11672.0,76
20200211,202002     ,115202,11672.0,11672.0,11672.0,11672.0,50
20200211,202002     ,115303,11672.0,11677.0,11672.0,11676.0,406
20200211,202002     ,115400,11677.0,11678.0,11674.0,11675.0,306
20200211,202002     ,115500,11676.0,11677.0,11675.0,11676.0,284
20200211,202002     ,115601,11676.0,11678.0,11675.0,11677.0,358
20200211,202002     ,115705,11677.0,11677.0,11675.0,11676.0,112
20200211,202002     ,115810,11675.0,11676.0,11675.0,11675.0,88
20200211,202002     ,115900,11676.0,11677.0,11675.0,11677.0,112
20200211,202002     ,120002,11677.0,11680.0,11675.0,11676.0,572
20200211,202002     ,120100,11676.0,11677.0,11675.0,11677.0,68
20200211,202002     ,120201,11676.0,11678.0,11675.0,11677.0,130
20200211,202002     ,120300,11677.0,11681.0,11676.0,11680.0,538
20200211,202002     ,120400,11681.0,11683.0,11678.0,11680.0,564
20200211,202002     ,120511,11680.0,11681.0,11679.0,11680.0,146
20200211,202002     ,120602,11680.0,11680.0,11678.0,11679.0,168
20200211,202002     ,120701,11679.0,11679.0,11678.0,11678.0,70
20200211,202002     ,120800,11678.0,11678.0,11675.0,11676.0,216
20200211,202002     ,120904,11676.0,11678.0,11676.0,11677.0,94
20200211,202002     ,121000,11677.0,11678.0,11677.0,11677.0,38
20200211,202002     ,121101,11677.0,11678.0,11675.0,11676.0,124
20200211,202002     ,121200,11676.0,11676.0,11671.0,11671.0,374
20200211,202002     ,121302,11671.0,11671.0,11670.0,11671.0,228
20200211,202002     ,121402,11672.0,11674.0,11671.0,11674.0,172
20200211,202002     ,121500,11673.0,11674.0,11672.0,11672.0,62
20200211,202002     ,121601,11671.0,11672.0,11671.0,11672.0,96
20200211,202002     ,121701,11671.0,11672.0,11669.0,11670.0,258
20200211,202002     ,121800,11671.0,11672.0,11670.0,11672.0,328
20200211,202002     ,121900,11673.0,11673.0,11668.0,11669.0,220
20200211,202002     ,122000,11670.0,11670.0,11668.0,11669.0,222
20200211,202002     ,122100,11670.0,11670.0,11666.0,11667.0,450
20200211,202002     ,122202,11667.0,11668.0,11665.0,11667.0,374
20200211,202002     ,122302,11666.0,11668.0,11666.0,11667.0,198
20200211,202002     ,122400,11667.0,11670.0,11666.0,11669.0,292
20200211,202002     ,122502,11669.0,11669.0,11668.0,11669.0,134
20200211,202002     ,122601,11668.0,11668.0,11666.0,11666.0,288
20200211,202002     ,122700,11666.0,11667.0,11663.0,11665.0,758
20200211,202002     ,122802,11665.0,11666.0,11664.0,11665.0,254
20200211,202002     ,122904,11666.0,11667.0,11666.0,11667.0,90
20200211,202002     ,123000,11667.0,11668.0,11664.0,11664.0,330
20200211,202002     ,123100,11664.0,11665.0,11662.0,11663.0,474
20200211,202002     ,123200,11663.0,11668.0,11662.0,11666.0,454
20200211,202002     ,123300,11666.0,11667.0,11665.0,11665.0,212
20200211,202002     ,123400,11665.0,11665.0,11663.0,11663.0,116
20200211,202002     ,123500,11663.0,11663.0,11656.0,11658.0,1364
20200211,202002     ,123600,11658.0,11659.0,11656.0,11656.0,582
20200211,202002     ,123700,11657.0,11658.0,11655.0,11655.0,678
20200211,202002     ,123800,11655.0,11660.0,11654.0,11659.0,602
20200211,202002     ,123900,11658.0,11658.0,11656.0,11656.0,178
20200211,202002     ,124001,11658.0,11659.0,11657.0,11658.0,122
20200211,202002     ,124101,11659.0,11659.0,11658.0,11658.0,94
20200211,202002     ,124202,11658.0,11662.0,11658.0,11661.0,346
20200211,202002     ,124300,11661.0,11663.0,11660.0,11663.0,240
20200211,202002     ,124402,11662.0,11664.0,11661.0,11662.0,284
20200211,202002     ,124501,11661.0,11662.0,11660.0,11662.0,214
20200211,202002     ,124601,11661.0,11661.0,11658.0,11659.0,288
20200211,202002     ,124702,11659.0,11660.0,11658.0,11659.0,184
20200211,202002     ,124801,11659.0,11661.0,11659.0,11661.0,200
20200211,202002     ,124900,11661.0,11667.0,11661.0,11665.0,820
20200211,202002     ,125000,11664.0,11667.0,11664.0,11667.0,244
20200211,202002     ,125102,11667.0,11667.0,11665.0,11666.0,348
20200211,202002     ,125200,11667.0,11667.0,11665.0,11666.0,130
20200211,202002     ,125300,11666.0,11670.0,11666.0,11670.0,530
20200211,202002     ,125402,11670.0,11673.0,11667.0,11668.0,736
20200211,202002     ,125500,11668.0,11670.0,11668.0,11668.0,138
20200211,202002     ,125600,11669.0,11670.0,11663.0,11665.0,410
20200211,202002     ,125707,11666.0,11667.0,11666.0,11667.0,180
20200211,202002     ,125801,11666.0,11669.0,11666.0,11669.0,126
20200211,202002     ,125901,11669.0,11669.0,11665.0,11666.0,276
20200211,202002     ,130001,11667.0,11668.0,11666.0,11668.0,42
20200211,202002     ,130100,11667.0,11669.0,11665.0,11665.0,250
20200211,202002     ,130200,11664.0,11668.0,11663.0,11667.0,234
20200211,202002     ,130301,11667.0,11670.0,11666.0,11670.0,220
20200211,202002     ,130400,11670.0,11670.0,11666.0,11669.0,210
20200211,202002     ,130500,11669.0,11669.0,11667.0,11669.0,108
20200211,202002     ,130605,11668.0,11670.0,11666.0,11667.0,226
20200211,202002     ,130701,11666.0,11669.0,11666.0,11667.0,178
20200211,202002     ,130800,11668.0,11669.0,11666.0,11669.0,118
20200211,202002     ,130904,11667.0,11669.0,11666.0,11668.0,212
20200211,202002     ,131001,11668.0,11670.0,11667.0,11670.0,162
20200211,202002     ,131108,11670.0,11671.0,11668.0,11669.0,304
20200211,202002     ,131200,11669.0,11670.0,11668.0,11670.0,138
20200211,202002     ,131302,11669.0,11671.0,11669.0,11671.0,146
20200211,202002     ,131400,11671.0,11671.0,11670.0,11670.0,90
20200211,202002     ,131500,11670.0,11671.0,11670.0,11671.0,100
20200211,202002     ,131600,11670.0,11673.0,11670.0,11670.0,360
20200211,202002     ,131700,11671.0,11671.0,11669.0,11670.0,112
20200211,202002     ,131800,11670.0,11671.0,11669.0,11669.0,96
20200211,202002     ,131907,11669.0,11672.0,11669.0,11671.0,138
20200211,202002     ,132000,11672.0,11673.0,11671.0,11673.0,90
20200211,202002     ,132101,11673.0,11677.0,11672.0,11676.0,606
20200211,202002     ,132203,11675.0,11676.0,11673.0,11673.0,356
20200211,202002     ,132303,11673.0,11675.0,11673.0,11674.0,218
20200211,202002     ,132400,11674.0,11675.0,11673.0,11674.0,204
20200211,202002     ,132500,11674.0,11675.0,11670.0,11672.0,600
20200211,202002     ,132600,11673.0,11675.0,11666.0,11666.0,818
20200211,202002     ,132701,11666.0,11669.0,11664.0,11665.0,674
20200211,202002     ,132800,11666.0,11667.0,11665.0,11667.0,270
20200211,202002     ,132900,11667.0,11669.0,11665.0,11666.0,414
20200211,202002     ,133000,11666.0,11667.0,11661.0,11661.0,1106
20200211,202002     ,133102,11661.0,11663.0,11658.0,11662.0,1334
20200211,202002     ,133200,11661.0,11662.0,11659.0,11660.0,410
20200211,202002     ,133301,11659.0,11660.0,11658.0,11659.0,298
20200211,202002     ,133402,11659.0,11661.0,11658.0,11661.0,406
20200211,202002     ,133501,11660.0,11661.0,11659.0,11660.0,260
20200211,202002     ,133600,11660.0,11662.0,11659.0,11660.0,548
20200211,202002     ,133701,11661.0,11663.0,11660.0,11662.0,540
20200211,202002     ,133801,11663.0,11663.0,11661.0,11663.0,440
20200211,202002     ,133900,11663.0,11664.0,11661.0,11664.0,458
20200211,202002     ,134001,11663.0,11663.0,11660.0,11661.0,584
20200211,202002     ,134100,11662.0,11664.0,11660.0,11662.0,546
20200211,202002     ,134200,11663.0,11665.0,11662.0,11664.0,546
20200211,202002     ,134300,11662.0,11664.0,11662.0,11662.0,532
20200211,202002     ,134400,11663.0,11664.0,11662.0,11664.0,528
20200211,202003     ,84500,11664.0,11666.0,11663.0,11666.0,1424
20200211,202003     ,84606,11602.0,11625.0,11602.0,11621.0,130
20200211,202003     ,84700,11625.0,11632.0,11620.0,11632.0,100
20200211,202003     ,84801,11633.0,11634.0,11627.0,11629.0,56
20200211,202003     ,84920,11629.0,11629.0,11623.0,11627.0,36
20200211,202003     ,85009,11625.0,11625.0,11623.0,11624.0,8
20200211,202003     ,85112,11621.0,11622.0,11615.0,11620.0,34
20200211,202003     ,85203,11618.0,11622.0,11617.0,11622.0,18
20200211,202003     ,85322,11618.0,11618.0,11616.0,11616.0,12
20200211,202003     ,85412,11617.0,11620.0,11617.0,11620.0,22
20200211,202003     ,85506,11619.0,11619.0,11619.0,11619.0,4
20200211,202003     ,85602,11616.0,11616.0,11609.0,11615.0,54
20200211,202003     ,85710,11615.0,11620.0,11615.0,11618.0,38
20200211,202003     ,85815,11618.0,11618.0,11617.0,11617.0,8
20200211,202003     ,85917,11616.0,11617.0,11612.0,11612.0,10
20200211,202003     ,90001,11611.0,11612.0,11611.0,11612.0,6
20200211,202003     ,90102,11610.0,11611.0,11602.0,11608.0,24
20200211,202003     ,90202,11609.0,11611.0,11603.0,11611.0,16
20200211,202003     ,90326,11610.0,11617.0,11610.0,11617.0,10
20200211,202003     ,90400,11620.0,11624.0,11620.0,11622.0,10
20200211,202003     ,90501,11615.0,11618.0,11613.0,11618.0,14
20200211,202003     ,90601,11620.0,11621.0,11612.0,11612.0,24
20200211,202003     ,90701,11611.0,11611.0,11597.0,11603.0,88
20200211,202003     ,90810,11601.0,11603.0,11598.0,11600.0,44
20200211,202003     ,90906,11597.0,11607.0,11596.0,11607.0,48
20200211,202003     ,91001,11606.0,11609.0,11604.0,11607.0,18
20200211,202003     ,91115,11610.0,11611.0,11609.0,11609.0,16
20200211,202003     ,91200,11611.0,11616.0,11611.0,11615.0,22
20200211,202003     ,91317,11615.0,11615.0,11608.0,11608.0,10
20200211,202003     ,91408,11605.0,11606.0,11601.0,11601.0,24
20200211,202003     ,91505,11604.0,11613.0,11604.0,11613.0,26
20200211,202003     ,91600,11613.0,11616.0,11613.0,11616.0,18
20200211,202003     ,91736,11617.0,11628.0,11617.0,11628.0,84
20200211,202003     ,91800,11623.0,11626.0,11623.0,11626.0,22
20200211,202003     ,91900,11628.0,11640.0,11628.0,11639.0,106
20200211,202003     ,92002,11640.0,11643.0,11638.0,11639.0,40
20200211,202003     ,92124,11641.0,11643.0,11638.0,11641.0,26
20200211,202003     ,92222,11638.0,11638.0,11631.0,11635.0,24
20200211,202003     ,92300,11640.0,11641.0,11630.0,11630.0,16
20200211,202003     ,92409,11630.0,11630.0,11625.0,11626.0,24
20200211,202003     ,92502,11630.0,11630.0,11626.0,11626.0,16
20200211,202003     ,92655,11626.0,11628.0,11624.0,11625.0,28
20200211,202003     ,92708,11625.0,11625.0,11625.0,11625.0,2
20200211,202003     ,92819,11625.0,11627.0,11615.0,11617.0,38
20200211,202003     ,92909,11618.0,11622.0,11618.0,11620.0,6
20200211,202003     ,93004,11621.0,11621.0,11618.0,11618.0,6
20200211,202003     ,93104,11617.0,11626.0,11615.0,11626.0,12
20200211,202003     ,93211,11624.0,11630.0,11624.0,11628.0,22
20200211,202003     ,93305,11631.0,11632.0,11630.0,11630.0,18
20200211,202003     ,93426,11624.0,11624.0,11619.0,11621.0,12
20200211,202003     ,93516,11620.0,11620.0,11617.0,11617.0,10
20200211,202003     ,93611,11618.0,11618.0,11617.0,11617.0,6
20200211,202003     ,93703,11622.0,11625.0,11615.0,11615.0,12
20200211,202003     ,93805,11614.0,11620.0,11613.0,11620.0,10
20200211,202003     ,94003,11622.0,11625.0,11622.0,11625.0,102
20200211,202003     ,94116,11627.0,11639.0,11627.0,11637.0,72
20200211,202003     ,94213,11636.0,11636.0,11631.0,11634.0,8
20200211,202003     ,94306,11636.0,11636.0,11632.0,11635.0,16
