Date,Open,High,Low,Close,NextClose,LSTM_pred,predªº§PÂ_,¹ê»Úªº§PÂ_,·Ç½T/¿ù»~
2018/9/26,0.924924925,0.909774436,0.958333333,0.952615385,0.958769231,0.9139439,¶^,º¦,¿ù»~
2018/9/27,0.92012012,0.922305764,0.950595238,0.958769231,0.942153846,0.9166106,¶^,¶^,·Ç½T
2018/9/28,0.953753754,0.939849624,0.941666667,0.942153846,0.973538462,0.91649204,¶^,º¦,¿ù»~
2018/10/1,0.927927928,0.926691729,0.968452381,0.973538462,0.895384615,0.92842066,¶^,¶^,·Ç½T
2018/10/2,0.950750751,0.922305764,0.913095238,0.895384615,0.881230769,0.8880809,¶^,¶^,·Ç½T
2018/10/3,0.875075075,0.861528822,0.896428571,0.881230769,0.781538462,0.8555985,¶^,¶^,·Ç½T
2018/10/4,0.840840841,0.808897243,0.80297619,0.781538462,0.670153846,0.7801987,¶^,¶^,·Ç½T
2018/10/5,0.741741742,0.710526316,0.65,0.670153846,0.637538462,0.66621274,¶^,¶^,·Ç½T
2018/10/9,0.641441441,0.607142857,0.65952381,0.637538462,0.134153846,0.62161505,¶^,¶^,·Ç½T
2018/10/11,0.362162162,0.286967419,0.405357143,0.134153846,0.322461538,0.2665296,º¦,º¦,·Ç½T
2018/10/12,0.187987988,0.288220551,0.394642857,0.322461538,0.268307692,0.31858817,¶^,¶^,·Ç½T
2018/10/15,0.285885886,0.243107769,0.306547619,0.268307692,0.324307692,0.27063882,º¦,º¦,·Ç½T
2018/10/16,0.277477477,0.283834586,0.314880952,0.324307692,0.337230769,0.30324328,¶^,º¦,¿ù»~
2018/10/17,0.376576577,0.288220551,0.393452381,0.337230769,0.283076923,0.33880556,º¦,¶^,¿ù»~
2018/10/18,0.3003003,0.280075188,0.320833333,0.283076923,0.296,0.29038268,º¦,º¦,·Ç½T
2018/10/19,0.198198198,0.234962406,0.242857143,0.296,0.314461538,0.25519857,¶^,º¦,¿ù»~
2018/10/22,0.234234234,0.271303258,0.251190476,0.314461538,0.187076923,0.27615836,¶^,¶^,·Ç½T
2018/10/23,0.241441441,0.194235589,0.228571429,0.187076923,0.179076923,0.20430702,º¦,¶^,¿ù»~
2018/10/24,0.198198198,0.157894737,0.169047619,0.179076923,0.038153846,0.17267016,¶^,¶^,·Ç½T
2018/10/25,0,0.011278195,0.044642857,0.038153846,0,0.051776372,º¦,¶^,¿ù»~
2018/10/26,0.074474474,0.021303258,0,0,0.030153846,0.04786108,º¦,º¦,·Ç½T
2018/10/29,0.062462462,0,0.05297619,0.030153846,0.061538462,0.051245466,º¦,º¦,·Ç½T
2018/10/30,0.025225225,0.01566416,0.073809524,0.061538462,0.184615385,0.06029419,¶^,º¦,¿ù»~
2018/10/31,0.103303303,0.130952381,0.149404762,0.184615385,0.216615385,0.15579617,¶^,º¦,¿ù»~
2018/11/1,0.183183183,0.171052632,0.210714286,0.216615385,0.268923077,0.19965419,¶^,º¦,¿ù»~
2018/11/2,0.256456456,0.206140351,0.2625,0.268923077,0.232615385,0.24726462,¶^,¶^,·Ç½T
2018/11/5,0.225825826,0.169172932,0.232142857,0.232615385,0.206769231,0.2140004,¶^,¶^,·Ç½T
2018/11/6,0.24024024,0.194862155,0.23452381,0.206769231,0.249846154,0.21290967,º¦,º¦,·Ç½T
2018/11/7,0.211411411,0.207393484,0.254166667,0.249846154,0.295384615,0.23480386,¶^,º¦,¿ù»~
2018/11/8,0.327327327,0.277568922,0.32797619,0.295384615,0.207384615,0.29850775,º¦,¶^,¿ù»~
2018/11/9,0.273273273,0.213659148,0.2375,0.207384615,0.175384615,0.22134078,º¦,¶^,¿ù»~
2018/11/13,0.106306306,0.124686717,0.103571429,0.175384615,0.198153846,0.13988164,¶^,º¦,¿ù»~
2018/11/14,0.196996997,0.148496241,0.221428571,0.198153846,0.233846154,0.19163609,¶^,º¦,¿ù»~
2018/11/15,0.208408408,0.171679198,0.207738095,0.233846154,0.211692308,0.20719475,¶^,¶^,·Ç½T
2018/11/16,0.263663664,0.213032581,0.2375,0.211692308,0.231384615,0.2219238,º¦,º¦,·Ç½T
2018/11/19,0.207207207,0.175438596,0.251190476,0.231384615,0.176615385,0.21876365,¶^,¶^,·Ç½T
2018/11/20,0.18978979,0.15726817,0.204166667,0.176615385,0.187692308,0.18071264,º¦,º¦,·Ç½T
2018/11/21,0.134534535,0.123433584,0.157738095,0.187692308,0.178461538,0.15918493,¶^,¶^,·Ç½T
2018/11/22,0.206006006,0.144110276,0.214880952,0.178461538,0.120615385,0.18245909,º¦,¶^,¿ù»~
2018/11/23,0.175375375,0.121553885,0.163095238,0.120615385,0.211692308,0.14109111,º¦,º¦,·Ç½T
2018/11/26,0.147147147,0.194862155,0.188690476,0.211692308,0.195076923,0.19576561,¶^,¶^,·Ç½T
2018/11/27,0.182582583,0.135338346,0.181547619,0.195076923,0.274461538,0.17509085,¶^,º¦,¿ù»~
2018/11/28,0.214414414,0.213659148,0.233928571,0.274461538,0.278769231,0.24040997,¶^,º¦,¿ù»~
2018/11/29,0.336936937,0.281954887,0.310714286,0.278769231,0.264,0.28962943,º¦,¶^,¿ù»~
2018/11/30,0.286486486,0.248120301,0.302380952,0.264,0.429538462,0.26923743,º¦,º¦,·Ç½T
2018/12/3,0.353753754,0.386591479,0.393452381,0.429538462,0.380307692,0.39555705,¶^,¶^,·Ç½T
2018/12/4,0.394594595,0.347744361,0.413095238,0.380307692,0.279384615,0.37641257,¶^,¶^,·Ç½T
2018/12/5,0.286486486,0.255012531,0.311904762,0.279384615,0.153846154,0.2791459,¶^,¶^,·Ç½T
2018/12/6,0.234234234,0.172305764,0.170833333,0.153846154,0.198769231,0.17064232,º¦,º¦,·Ç½T
2018/12/7,0.187387387,0.140350877,0.208333333,0.198769231,0.124307692,0.18551788,¶^,¶^,·Ç½T
2018/12/10,0.121921922,0.054511278,0.170833333,0.124307692,0.242461538,0.12616235,º¦,º¦,·Ç½T
2018/12/12,0.201801802,0.180451128,0.229761905,0.242461538,0.265846154,0.21796134,¶^,º¦,¿ù»~
2018/12/13,0.245045045,0.208646617,0.268452381,0.265846154,0.188307692,0.24746019,¶^,¶^,·Ç½T
2018/12/14,0.229429429,0.169172932,0.200595238,0.188307692,0.225230769,0.19024143,º¦,º¦,·Ç½T
2018/12/17,0.198198198,0.179824561,0.22797619,0.225230769,0.180923077,0.21066958,¶^,¶^,·Ç½T
2018/12/18,0.177177177,0.135338346,0.207738095,0.180923077,0.211692308,0.17667055,¶^,º¦,¿ù»~
2018/12/19,0.201201201,0.149749373,0.231547619,0.211692308,0.133538462,0.19965503,¶^,¶^,·Ç½T
,,,,,,,,,
,,,,,,,,·Ç½T¦¸¼Æ,63
,,,,,,,,¿ù»~¦¸¼Æ,46
,,,,,,,,Á`¦¸¼Æ,109
,,,,,,,,·Ç½T²v,0.577981651376147
